"Designator","Mid X","Mid Y","Layer","Rotation"
"PS1","117.3mm","-95.7mm","top","0.0"
"SW1","117.8mm","-81.85mm","top","0.0"
"J2","180.75mm","-84.8mm","top","270.0"
"J3","153.35mm","-107.4mm","top","90.0"
"J1","99.2mm","-107.75mm","top","90.0"
"K1","157.5mm","-98.4mm","top","90.0"
"D2","106.95mm","-82.9mm","top","0.0"
