Comment,Designator,Footprint,LCSC Part #
2N7002,Q1,,C179727
10K,R3 R1 R5,,C17414
1K,R2 R4,,C17513
AMS1117-3.3,U1,,C347222
1N4148,D1,, C2128
10uF,C1,,C39060
22uF,C2,,C45783
ESP-12F,U3,,C82891
